"id","created_at","created_by","campus","slug","name","aka","geoloc","type","image_url","description","address","postal_code","state","city","departments","rooms","country","last_updated_at","last_updated_by"
1693,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"02-917",Owen House,"{02-917,""Owen House""}","{""lat"": 37.42282237, ""lon"": -122.16837111}","{""""}","","","552 O'Connor Lane",94305,CA,Stanford,"{""""}","{""""}",US,,
1631,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"01-200","Building 200, Main Quad","{01-200,""Building 200, Main Quad"",""David Potter Reading Room"",""History And Philosophy Of Science"",""History Philosophy Of Science"",""John D. Wirth Reading Room"",""Lane Hall"",""Lane History Corner"",""Science, Technology & Society"",""Science, Technology And Society"",""Science, Technology, & Society""}","{""lat"": 37.42807156, ""lon"": -122.16855824}","{""""}","","","450 Serra Mall, Building 200",94305,CA,Stanford,"{""""}","{200-013,200-002,200-015,200-030,200-032,200-105,200-034,200-107,200-124,200-201,200-203,200-202,200-217,200-205,200-219,200-230,200-302,200-303,200-305,200-246,200-307}",US,,
1632,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"01-240",Building 240 - Main Quad,"{01-240,""Building 240 - Main Quad"",""Div Lit Cultures And Languages"",""Dlcl Operations""}","{""lat"": 37.42739711, ""lon"": -122.16874137}","{""""}","","","450 Serra Mall, Building 240",94305,CA,Stanford,"{""""}","{240-101,240-108,240-110,240-202,240-201}",US,,
1615,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"01-001",Building 1 - Main Quad,"{01-001,""Building 1 - Main Quad"",""Building 1""}","{""lat"": 37.42780204, ""lon"": -122.1696657}","{""""}","","","450 Serra Mall, Building 1",94305,CA,Stanford,"{""""}","{""""}",US,,
1688,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"02-900t",Gasdynamic,"{02-900t,Gasdynamic,""Gasdynamics Laboratory Storage""}","{""lat"": 37.42555458, ""lon"": -122.17170005}","{""""}","","","423 Santa Teresa Street",94305,CA,Stanford,"{""""}","{""""}",US,,
2361,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,oak-creek-apts-building-300-k,"","{""Oak Creek Apts, Building 1300-K""}","{""lat"": 37.43438035, ""lon"": -122.1835878}","{""""}","","","",94305,CA,Stanford,"{""""}","{""""}",US,,
1767,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"05-450",Kappa Sigma,"{05-450,""Chapter Room"",""Kappa Sig"",""Kappa Sigma Dining"",""Kappa Sigma""}","{""lat"": 37.42024591, ""lon"": -122.17023349}","{""""}","","","1035 Campus Drive",94305,CA,Stanford,"{""""}","{""""}",US,,
1792,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"05-750b",Adams,"{05-750b,Adams,""Tower Room""}","{""lat"": 37.42598268, ""lon"": -122.17981746}","{""""}","","","236 Santa Teresa Street, Adams",94305,CA,Stanford,"{""""}","{""""}",US,,
1793,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"05-750c",Robinson,"{05-750c,Robinson}","{""lat"": 37.4258967, ""lon"": -122.18068868}","{""""}","","","236 Santa Teresa Street, Robinson",94305,CA,Stanford,"{""""}","{""""}",US,,
1794,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"05-750d",Schiff Hs,"{05-750d,""Schiff Hs"",Sterlingquadsemrma,""Vpue Admin & Mgmt"",""Vpue Central Office Operations""}","{""lat"": 37.42615864, ""lon"": -122.18050413}","{""""}","","","236 Santa Teresa Street, Schiff",94305,CA,Stanford,"{""""}","{""""}",US,,
1796,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"05-760b",Housing Maintenance Operations,"{05-760b,""Housing Maintenance Operations"",""Jing Lyman Commons"",""Lyman, Commons""}","{""lat"": 37.42520488, ""lon"": -122.18147733}","{""""}","","","121 Campus Drive, Building B",94305,CA,Stanford,"{""""}","{""""}",US,,
1797,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"05-760c","Lyman, Building 3","{05-760c,""Lyman, Building 3"",""Richard Lyman Graduate Res. Building 3""}","{""lat"": 37.42483808, ""lon"": -122.18159157}","{""""}","","","121 Campus Drive, Building 3",94305,CA,Stanford,"{""""}","{""""}",US,,
1828,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"06-500f",Stern - Serra,"{06-500f,""Stern - Serra"",""Stern, Serra""}","{""lat"": 37.42396952, ""lon"": -122.1661842}","{""""}","","","618 Escondido Road, Serra",94305,CA,Stanford,"{""""}","{""""}",US,,
2112,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"10-234",Rains 234,"{10-234,""Rains 234"",""Rains, Building 234""}","{""lat"": 37.42239129, ""lon"": -122.1606541}","{""""}","","","234 Ayrshire Farm Lane",94305,CA,Stanford,"{""""}","{""""}",US,,
2355,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,lagunita,Lagunita,{Lagunita},"{""lat"": 37.425258, ""lon"": -122.175967}","{""""}","","","",94305,CA,Stanford,"{""""}","{""""}",US,,
2246,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,biological-sciences,Biological Sciences,"{""Biological Sciences""}","{""lat"": 37.42882812, ""lon"": -122.18134909}","{""""}","","","",94305,CA,Stanford,"{""""}","{""""}",US,,
1623,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"01-070","70-72a1","{01-070,70-72a1,""Building 70"",""Building 70"",""Buddhist Studies"",""Building 70"",""Building 70, Main Quad"",""Ho Center For Buddhist Studies"",""Humanities - Religious Studies"",Religion,""Religious Studies""}","{""lat"": 37.42724339, ""lon"": -122.17124819}","{""""}","","","450 Serra Mall, Building 70",94305,CA,Stanford,"{""""}","{""""}",US,,
2113,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"10-236",Rains 236,"{10-236,""Rains 236"",""Rains, Building 236""}","{""lat"": 37.4224999, ""lon"": -122.16083854}","{""""}","","","236 Ayrshire Farm Lane",94305,CA,Stanford,"{""""}","{""""}",US,,
