id,created_at,created_by,last_updated_at,last_updated_by,campus,slug,name,aka,geoloc,type,image_url,description,address,postal_code,state,city,departments,rooms,country
2041,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-086,escondido village ii - unit 86,"{""10-086"",""escondido village ii - unit 86"",""escondido village, building 086"",""ev unit-86""}","{""lat"":37.42833817,""lon"":-122.15366392}",,,,86 hulme courts,94305,CA,Stanford,,,US
2042,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-087,escondido ii midrise-hulme,"{""10-087"",""escondido ii midrise-hulme"",""escondido village, hulme""}","{""lat"":37.42779743,""lon"":-122.15394434}",,,,87 hulme courts,94305,CA,Stanford,,,US
2043,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-088,escondido village ii - unit 88,"{""10-088"",""escondido village ii - unit 88"",""escondido village, building 088"",""ev unit-88""}","{""lat"":37.42798736,""lon"":-122.15448029}",,,,88 hulme courts,94305,CA,Stanford,,,US
2044,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-089,escondido village ii - unit 89,"{""10-089"",""escondido village ii - unit 89"",""escondido village, building 089"",""ev unit-89""}","{""lat"":37.42828237,""lon"":-122.15483018}",,,,89 hulme courts,94305,CA,Stanford,,,US
2045,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-090,escondido village ii - unit 90,"{""10-090"",""escondido village ii - unit 90"",""escondido village, building 090"",""ev unit-90""}","{""lat"":37.42837017,""lon"":-122.15532965}",,,,90 hulme courts,94305,CA,Stanford,,,US
2046,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-091,escondido village ii - unit 91,"{""10-091"",""escondido village ii - unit 91"",""escondido village, building 091"",""ev unit-91""}","{""lat"":37.42813187,""lon"":-122.15555601}",,,,91 thoburn courts,94305,CA,Stanford,,,US
2047,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-092,escondido village ii - unit 92,"{""10-092"",""escondido village ii - unit 92"",""escondido village, building 092"",""ev unit-92""}","{""lat"":37.42779732,""lon"":-122.15523171}",,,,92 thoburn courts,94305,CA,Stanford,,,US
2048,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-093,escondido village ii - unit 93,"{""10-093"",""escondido village ii - unit 93"",""escondido village, building 093"",""ev unit-93""}","{""lat"":37.42766289,""lon"":-122.15473374}",,,,93 thoburn courts,94305,CA,Stanford,,,US
2049,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-102,escondido iii midrise-hoskins,"{""10-102"",""escondido iii midrise-hoskins"",""escondido village, hoskins"",""hoskins""}","{""lat"":37.4266085,""lon"":-122.1553297}",,,,730 serra street,94305,CA,Stanford,,,US
2050,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-094,escondido village ii - unit 94,"{""10-094"",""escondido village ii - unit 94"",""escondido village, building 094"",""ev unit-94""}","{""lat"":37.42731108,""lon"":-122.15451772}",,,,94 thoburn courts,94305,CA,Stanford,,,US
